"Shape_Leng","Shape_Area","Type","Name","Certainty","Note","2000_01_em","2001_09_em","2002_02_em","2003_07_em","2004_05_em","2005_07_em","2006_07_em","2007_04_em","2008_03_em","2009_05_em","2010_06_em","2011_09_em","2013_08_em","2014_04_em","2015_05_em","2016_03_em","2017_04_em","2018_12_em","2019_06_em","2020_04_em","2021_11_em","2022_03_em","2023_04_em","AlwaysEm","AlwaysSub","Affected","NeverSub","NeverEm"
523,1,"-","ReS_3","ReS_3",NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
314,0,"flat site","QNR_7","4",NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
314,0,"rock-cut tombs","Rock-cut Tomb","4",NA,89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,1,0,0
361,0,"-","Tannira Maqbara","2",NA,100,100,100,100,91,100,100,91,100,100,100,100,100,100,100,100,100,81,92,100,100,88,100,0,0,1,0,0
314,0,"-","Khirbet el Matbukh","4",NA,0,0,0,0,0,8,0,8,8,17,8,0,8,8,0,0,0,0,26,100,16,0,84,0,0,1,0,0
314,0,"-","Dakhne","4","we do not have data on this site",75,83,92,75,92,92,92,92,100,92,83,83,83,92,83,83,83,100,100,100,100,100,100,0,0,1,0,0
314,0,"flat site","Hammam Saghir Spring","4",NA,89,89,100,89,100,100,100,100,100,100,100,89,100,100,100,89,100,90,90,90,100,95,100,0,0,1,0,0
970,6,"flat site","Hammam Seghir","3",NA,97,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,100,100,100,99,100,0,0,1,0,0
314,0,"tell","QNR_9","4",NA,75,100,100,100,88,100,100,100,100,100,100,100,100,100,100,100,100,68,84,84,95,84,100,0,0,1,0,0
501,1,"-","ReS_4","3",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
547,1,"flat site","ReS_5","3",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
353,0,"low mound","ReS_6","3",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
140,0,"mound","ReS_7","3",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
478,1,"low mound","ReS_8","3",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
521,1,"-","ReS_10","3",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
916,5,"-","ReS_11","3",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1241,7,"tell","Tell Mresh","3",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
432,1,"-","ReS_12","3",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
484,1,"-","ReS_14","3",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
492,1,"-","ReS_13","3",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
308,0,"-","ReS_15","3",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
299,0,"-","ReS_9","3",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
980,5,"rock-cut necropole","Jebel Hammam","3",NA,69,81,75,85,85,90,86,88,86,90,86,86,86,90,83,83,85,69,86,80,81,81,90,0,0,1,0,0
0,3,"tell","Tell Khamis","3",NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
0,22,"tell","Tell Halula","3",NA,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,1,0,0
0,0,"-","Ausheriye West","4",NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
