"","fid","Shape_Leng","Shape_Area","Type","Name","Certainty","Note","2000.08_em","2000.08_sb","2001.06_NA","2001.06_em","2001.06_sb","2002.07_em","2002.07_sb","2003.10_NA","2003.10_em","2003.10_sb","2004.09_NA","2004.09_em","2004.09_sb","2005.08_NA","2005.08_em","2005.08_sb","2006.09_NA","2006.09_em","2006.09_sb","2007.09_NA","2007.09_em","2007.09_sb","2008.07_em","2008.07_sb","2009.08_em","2009.08_sb","2010.08_em","2010.08_sb","2011.06_em","2011.06_sb","2013.03_NA","2013.03_em","2013.03_sb","2014.06_em","2014.06_sb","2015.08_em","2015.08_sb","2016.06_NA","2016.06_em","2016.06_sb","2017.06_NA","2017.06_em","2017.06_sb","2018.03_em","2018.03_sb","2019.03_em","2019.03_sb","2020.08_em","2020.08_sb","2021.05_em","2021.05_sb","2022.09_em","2022.09_sb","2023.02_em","2023.02_sb"
"30",30,1887.06277098,25.92,"Low mound","Tell Banat village","1",NA,1,99,0,5,95,5,95,0,3,97,0,3,97,0,3,97,0,5,95,0,6,94,4,96,5,95,5,95,3,97,10,3,87,10,90,3,97,12,1,87,23,11,66,15,85,2,98,4,96,20,80,25,75,28,72
"31",31,3045.12926595,50.57,"village, necropole, fortification","Boujak","1",NA,78,22,0,78,21,81,19,0,76,24,0,76,23,0,77,23,0,78,22,0,79,21,78,22,79,21,79,21,80,20,0,79,21,80,20,79,21,0,82,18,0,82,18,81,19,89,11,79,21,88,12,82,18,81,19
"32",32,701.520944403,3.25,"tell","Tell Kosak Shamali","2",NA,67,33,0,75,25,69,31,0,69,31,0,69,31,0,72,28,0,72,28,0,72,28,81,19,72,28,81,19,69,31,0,81,19,81,19,75,25,0,81,19,0,83,17,95,5,90,10,84,16,99,1,88,12,91,9
"33",33,1903.39974905,14.77,"tell","Tell Qara Qozak","1",NA,5,95,0,7,93,7,93,0,6,94,0,5,95,0,5,95,0,7,93,0,5,95,8,92,7,93,8,92,8,92,0,7,93,24,76,9,91,0,9,91,0,40,60,48,52,9,91,11,89,74,26,70,30,80,20
"34",34,1045.17053687,5.89,"tell + necropole","Tell Dja'da Mughara","2",NA,97,3,0,99,1,99,1,0,97,3,0,96,4,0,97,3,0,99,1,0,100,0,97,3,97,3,99,1,97,3,0,97,3,100,0,97,3,0,99,1,0,99,1,93,7,92,8,94,6,100,0,100,0,99,1
"35",35,854.891634336,5.27,"tell","Tell Suleiman Shah","1",NA,43,57,0,52,48,50,50,0,50,50,0,58,42,0,58,42,0,60,40,0,60,40,65,35,63,37,65,35,65,35,0,67,33,77,23,67,33,0,73,27,0,85,15,91,9,73,27,76,24,95,5,91,9,96,4
"36",36,2193.44042927,24.28,"-","Qubbah","2",NA,58,42,0,60,40,62,38,0,60,40,0,60,40,0,65,35,0,64,36,0,67,33,67,33,65,35,66,34,63,37,0,67,33,73,27,63,37,0,69,31,0,77,23,76,24,63,37,69,31,80,20,78,22,78,22
"37",37,3519.77762719,71.99,"tell and lower town","Tell Ahmar","1",NA,32,68,0,35,65,35,65,0,38,62,0,39,61,0,41,59,0,43,57,0,44,56,43,57,44,56,44,56,43,57,0,47,53,64,36,44,56,2,48,51,0,78,22,80,20,50,50,53,47,91,9,94,6,94,6
"38",38,1320.52864738,10.02,"tell","Tell el Abr","2",NA,91,9,0,94,6,93,7,0,93,7,0,92,8,0,93,7,0,99,1,0,98,2,99,1,95,5,98,2,94,6,0,99,1,100,0,93,7,0,99,1,0,100,0,100,0,94,6,96,4,100,0,100,0,100,0
"39",39,1457.35724359,14.9,"tell","Tell Qumluq","1",NA,47,53,0,60,40,57,43,0,56,44,0,58,42,0,61,39,0,64,36,0,69,31,68,32,64,36,65,35,63,37,0,74,26,99,1,65,35,0,77,23,0,99,1,99,1,69,31,78,22,100,0,100,0,100,0
"40",40,1525.39379808,16.8,"tell and lower town","Tell Shioukh Fawqani","1",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"41",41,547.530520693,2.09,"low mound","Duluk (Aushariye)","3",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"42",42,314.159265359,0.78,"flat site","Wadi Amarna","4",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"43",43,393.294189646,1.09,"flat site","Mughar Seraisat","5",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"44",44,314.159265359,0.78,"flat site","Near Mughar Seraisat","4",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"45",45,314.159265359,0.78,"flat site","Khirbet Seraisat S","4",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"46",46,110.499526158,0.09,"flat site","Mishirfe-2","5",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"47",47,183.336352786,0.23,"low mound","Meshirfe","5",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"48",48,314.159265359,0.78,"flat site","Near LCP 15_1","4",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
